Country,Region
Central Africa Home,Central Africa
Angola,Central Africa
Burundi,Central Africa
Cameroon,Central Africa
Central African Republic,Central Africa
Chad,Central Africa
Congo (Democratic Republic Of The),Central Africa
Congo,Central Africa
Equatorial Guinea,Central Africa
Gabon,Central Africa
Rwanda,Central Africa
São Tomé and Príncipe,Central Africa
East Africa Home,East Africa
Burundi,East Africa
Comoros,East Africa
Djibouti,East Africa
Eritrea,East Africa
Ethiopia,East Africa
Kenya,East Africa
Madagascar,East Africa
Mauritius,East Africa
Rwanda,East Africa
Seychelles,East Africa
Somalia,East Africa
South Sudan,East Africa
Sudan,East Africa
Tanzania,East Africa
Uganda,East Africa
North Africa Home,North Africa
Algeria,North Africa
Egypt,North Africa
Libya,North Africa
Morocco,North Africa
Tunisia,North Africa
Western Sahara,North Africa
Southern Africa Home,Southern Africa
Angola,Southern Africa
Botswana,Southern Africa
Lesotho,Southern Africa
Malawi,Southern Africa
Mozambique,Southern Africa
Namibia,Southern Africa
South Africa,Southern Africa
Swaziland,Southern Africa
Zambia,Southern Africa
Zimbabwe,Southern Africa
West Africa Home,West Africa
Benin,West Africa
Burkina Faso,West Africa
Cameroon,West Africa
Cape Verde,West Africa
Côte D'Ivoire,West Africa
Gambia,West Africa
Ghana,West Africa
Guinea,West Africa
Guinea Bissau,West Africa
Liberia,West Africa
Mali,West Africa
Mauritania,West Africa
Niger,West Africa
Nigeria,West Africa
Senegal,West Africa
Sierra Leone,West Africa
São Tomé and Príncipe,West Africa
Togo,West Africa
